Boiler_Type,Capacity_MW,Steam_Flow_TPH,Rated_Pressure_kgcm2,Rated_Steam_Temperature_C,Superheater_Weight_kg,Reheater_Weight_kg,Water_Circulation_System_Weight_kg,Economiser_Weight_kg,Steam_Drum_Weight_kg,Pipe_Supports_kg,Buckstay_System_kg,Boiler_Rough_Mountings_kg,Foundation_Bolts_kg,Grouting_kg,Insert_Materials_kg,Insulation_Weight_kg,Seal_Boxes_kg,Sealing_Arrangements_kg,Hoppers_kg,Chutes_kg,Deaerator_kg,Soot_Blowers_kg,Boiler_Mountings_Fittings_kg,Maintenance_Tools_kg,Field_Instruments_kg,Instrumentation_Erection_Hardware_kg,Electrical_Panels_kg,Electrical_Erection_Materials_kg,Illumination_System_kg,HP_Dosing_System_kg,LP_Dosing_System_kg,Common_Blowdown_Equipment_kg,Sample_Coolers_kg,Fasteners_kg,Gaskets_kg,Spares_kg,Miscellaneous_Items_kg,Total_Estimated_Weight_kg
Two-Pass,50,500,250,400,455779.1,272497.3,50776.9,1114701.1,268140.9,261599.0,170417.9,34301.4,59923.6,49918.9,27488.6,133116.4,48498.3,35181.9,141973.3,70201.2,392184.2,80209.5,123756.3,22028.4,31225.2,18769.9,40072.9,30652.7,9940.7,12653.0,6808.7,11190.7,6427.9,15639.2,9172.5,180616.3,63101.0,4248964.9
AFBC,500,2000,150,250,1478215.8,802190.2,494071.5,4770877.3,1730930.0,566338.4,1142115.8,139501.8,148924.7,125146.9,69767.3,864849.7,135651.0,116139.3,430310.6,220181.4,1078569.9,222189.5,388203.9,44630.7,70460.2,36774.0,103236.7,65622.7,16501.1,29846.2,14135.0,22018.7,11445.2,43572.8,25200.0,813622.3,245645.8,16466886.4
Two-Pass,250,500,100,300,263805.0,180500.1,187327.7,1237504.1,779398.6,243450.0,659077.0,95296.6,126010.6,106582.6,46410.6,412880.0,109278.2,80467.5,340641.3,134758.4,460291.8,176065.4,261072.3,30704.7,47055.2,29488.5,77545.4,49893.9,15819.3,21462.3,10480.4,20803.7,9723.1,24755.9,12787.7,326408.7,96077.5,6673824.1
Bi-Drum,500,2000,300,350,2254082.3,1301113.7,612898.0,4393288.2,3409686.1,671498.0,1221989.1,140379.3,174743.1,140217.3,59513.4,1022843.3,138857.9,139267.8,421712.3,221956.3,1032577.4,250562.3,387326.5,39709.3,71637.6,43241.3,103500.2,66564.1,16426.6,29297.6,14536.3,25554.3,11626.4,44138.5,25579.7,1025639.9,261221.8,19773185.9
CFBC,200,1000,250,350,867548.4,664225.3,233370.2,2168360.2,1068028.5,366674.5,640905.7,75352.5,113123.1,79266.6,40662.2,373410.2,125365.6,95088.9,263044.2,119692.9,611797.3,138600.2,266772.6,30165.2,45412.2,26367.5,68295.6,46815.5,14941.2,22427.1,11144.6,16589.3,9014.7,27782.1,15798.7,410122.4,124000.2,9180165.4
Two-Pass,660,2000,325,300,1678076.2,940775.8,885010.2,4250658.0,3033975.0,645304.4,1359494.0,164496.6,165595.4,138490.5,65645.3,1064951.7,152312.9,128173.0,577451.4,258907.5,1070765.1,246624.4,437685.2,49023.7,77662.7,47815.8,129695.4,73114.9,18509.5,28608.6,15339.0,27432.2,12261.2,54728.3,27644.6,974333.0,295375.6,19095937.1
Two-Pass,50,200,100,350,110874.4,65130.4,27986.3,508172.8,159318.4,132555.6,201588.3,34947.5,52897.8,44154.2,24082.5,100456.1,48038.5,35184.9,139158.2,61386.1,266609.7,78736.2,122730.0,19275.3,32583.4,16638.2,39550.0,30722.9,8553.0,12729.1,8099.7,12960.0,6416.1,12384.5,7143.1,125109.0,37129.6,2583301.8
Two-Pass,100,200,100,300,120861.1,70170.5,58821.9,493361.6,344867.5,143278.1,332818.1,58237.9,70186.3,59049.8,32125.9,138380.4,69701.5,51107.6,207749.6,97839.0,221860.3,111291.9,183978.0,23628.1,34628.2,24116.5,60729.6,41397.6,11843.4,16133.7,9361.8,13748.1,6479.9,15307.6,7480.9,140248.1,42192.6,3312983.1
CFBC,250,1000,325,250,840233.6,541101.4,337999.5,2318127.6,1464701.0,365447.9,911092.5,84785.8,123762.1,103335.0,53517.0,442657.3,119819.5,107799.1,284201.7,135326.3,692185.4,152408.2,295471.8,36754.0,47122.9,34349.3,75970.2,51082.0,13495.7,20679.2,11775.2,20402.2,9894.9,30008.7,14461.5,519531.0,129336.7,10388836.2
AFBC,660,150,100,250,73841.7,53789.5,555922.0,311521.4,2227180.7,306060.9,1438226.9,144498.4,191250.0,158409.4,76504.0,554638.7,175257.4,131222.2,568073.5,253743.1,190467.3,286358.8,508800.0,41616.5,68907.8,47198.7,133934.0,77012.3,18361.2,28224.1,15593.6,28170.4,10683.9,38660.1,16299.7,437709.4,112160.0,9280297.6
AFBC,250,1000,150,300,768846.7,477935.5,229436.5,2135185.4,1081223.1,336905.4,705534.8,84762.9,124773.8,104908.5,51861.6,505176.2,95659.1,80000.9,296551.2,136834.6,698186.4,156892.2,261213.8,36135.4,57216.0,29452.5,90651.3,58751.1,16070.5,24163.9,10138.6,20492.3,8293.9,30212.4,17462.0,463220.8,118387.9,9312537.2
Two-Pass,500,500,300,300,430529.0,258944.4,716939.3,1216486.7,1992402.7,385730.2,944970.7,144183.2,148679.1,121659.3,58603.5,663347.4,133659.0,134958.8,422961.6,217137.4,386968.7,250250.4,380960.6,45702.5,62798.0,43888.9,119049.1,66279.9,19371.3,29718.1,14418.0,21380.9,11418.9,38337.8,19112.9,431219.1,149262.5,10081329.9
Bi-Drum,270,500,150,300,347809.8,276933.0,220757.5,1217632.4,1442833.7,286294.6,786104.1,101223.9,114336.8,107788.8,55023.7,368918.0,118994.9,104777.3,308538.4,136998.2,461387.2,161365.8,312732.8,37557.8,56351.2,34976.6,77631.1,53074.3,16129.5,21522.4,11992.1,18049.9,8613.2,29652.4,12987.2,331803.7,99612.3,7740404.6
Two-Pass,200,300,150,350,187774.1,126407.8,179991.8,651370.2,633309.5,239611.0,553633.7,84756.0,95387.9,79983.9,41031.4,300426.8,82945.2,73436.0,255054.7,137985.2,340401.8,163393.2,272079.7,33922.6,51953.1,31733.9,69569.7,45935.8,12477.6,22627.1,9723.4,19275.8,8072.8,24441.1,12622.3,222897.8,66910.0,5131142.9
AFBC,500,2000,250,250,1472911.1,1071578.0,637952.4,4779027.2,2180366.6,585517.3,1142538.8,141924.9,170561.8,144954.0,68290.6,1024668.2,133664.1,136164.1,435834.8,186527.3,883255.0,223644.9,375561.8,39574.9,72837.3,43687.9,117958.5,65719.9,16940.6,25243.5,14394.1,25060.8,11771.6,50662.9,21143.7,729829.7,259191.4,17288959.7
CFBC,660,2000,325,400,2460109.3,1600770.1,879355.6,4335231.3,3604775.8,670509.3,1583985.8,140086.8,165968.2,159006.1,67986.3,1203368.6,192727.7,168565.7,576903.0,252503.9,901920.2,290282.9,523040.9,49701.9,67743.7,41314.2,111366.9,74889.3,20761.5,33315.9,15275.1,28151.8,10496.8,55827.8,27827.8,1083369.4,328458.5,21725598.1
Bi-Drum,100,500,150,250,331021.1,214139.4,86136.7,1197663.8,692167.5,236372.8,368015.3,58639.5,71384.2,69826.5,30953.5,183623.2,73189.8,54017.6,174012.4,100033.5,399333.0,98691.9,181937.2,28177.8,34629.5,21180.9,53925.0,40541.8,12031.5,18635.1,9456.1,13410.0,6616.4,18322.5,10872.9,224550.5,76592.8,5190101.7
CFBC,100,2000,250,350,1843791.7,1192546.0,93129.0,5132106.2,510965.8,558720.8,461086.5,57169.3,73180.9,70198.1,36650.4,328804.3,76301.7,68180.3,206857.0,99479.2,891619.6,96761.3,159798.9,27909.0,35769.0,21421.0,53011.0,35093.4,10221.7,16096.7,8336.5,15923.3,7707.3,29668.5,14743.4,654687.2,162154.2,13050089.2
Two-Pass,200,500,100,300,267780.1,185185.8,146588.2,1197311.4,539758.6,263538.2,565889.7,75093.0,114951.0,79623.9,41281.6,348116.7,94898.9,82133.3,299993.9,121619.0,461152.2,162980.8,225578.0,29432.6,45855.6,30862.5,69632.3,45772.2,15013.3,22280.8,11611.8,16819.2,7996.3,23352.2,13443.5,249968.7,74253.1,5929768.4
Bi-Drum,250,2000,250,350,2165950.9,1266158.7,296395.0,4382327.6,1639343.0,599210.5,722934.8,96574.9,110514.6,90226.6,52955.1,548261.8,114621.1,88507.5,291486.1,154658.7,1042085.2,152514.1,258521.0,30904.2,49482.7,28924.2,90710.8,58415.0,15705.2,21326.0,12003.5,17762.5,9621.0,41689.0,18237.6,785156.6,236706.6,15489892.1
Two-Pass,50,150,300,300,107913.5,73117.6,57571.4,363610.5,285865.6,155989.0,199940.2,35068.4,60954.6,44601.5,27756.4,94347.8,40901.3,42341.7,141084.7,59634.7,219016.0,70512.9,126665.3,22995.7,32669.2,18847.0,39305.9,31625.7,9602.9,12625.6,7028.6,11009.5,5691.9,11059.2,5565.7,121520.4,36345.7,2572786.1
AFBC,250,300,100,400,188305.1,132227.8,196005.5,665609.8,795398.2,222483.6,596614.8,83577.5,127392.0,91222.6,46603.5,346554.2,111720.9,97173.9,337183.5,153527.4,293412.3,151700.5,264072.4,36147.5,47206.7,29684.1,77696.2,50069.1,15911.9,24176.4,10129.3,18096.7,8309.2,26506.1,11440.4,249428.1,75406.5,5580993.7
Two-Pass,660,2000,250,350,1896957.8,960761.5,753493.5,5139384.8,2339094.2,536494.6,1165227.4,141622.4,191302.7,164212.5,77659.8,1256332.4,153933.2,130078.5,566553.9,220966.8,1076987.0,247943.7,513093.9,41206.9,69674.9,41004.1,111494.3,76848.4,20988.1,28770.4,13140.4,24091.7,10552.2,54256.5,27212.1,793961.5,279737.6,19125039.7
Two-Pass,270,500,150,250,283337.7,188573.5,224532.7,1003726.6,991517.6,297391.1,586948.6,102053.4,131107.9,107433.2,47086.5,425557.8,98905.3,85895.1,356466.0,162622.5,393561.0,190361.3,316998.7,37289.6,49085.7,28996.9,79234.3,60829.1,13560.5,25145.4,10602.0,18284.2,8491.3,30727.7,14932.1,289239.1,100973.7,6761468.1
Two-Pass,50,2000,200,350,1765442.4,1039221.4,45350.7,4330453.5,213502.9,434615.5,193799.4,33450.8,52264.3,43429.1,24290.3,172055.2,41770.3,36910.0,142013.0,59232.6,1049019.2,79509.0,122788.7,22730.4,31504.7,16548.2,40742.7,30577.1,9765.5,12931.7,6977.2,11022.7,6606.3,25236.3,13029.6,481918.1,163642.2,10752351.0
CFBC,500,2000,250,350,2149845.8,1395264.6,639564.4,4435419.8,2435934.2,551523.1,1548781.6,121149.4,144693.9,124749.9,60459.9,1031277.4,200777.8,169666.3,432578.3,185925.1,929492.3,256834.4,374017.8,39562.2,70003.9,41983.8,102312.0,78432.7,17179.2,30279.4,12178.5,21618.6,9775.7,49728.6,22111.1,787125.9,279608.0,18749855.6
AFBC,660,2000,150,250,1255769.6,781935.4,689564.5,4790773.2,2648671.3,498581.0,1456536.4,163362.1,198228.1,139133.4,77992.6,1044714.1,157410.8,157613.3,501145.5,249479.1,890653.8,287579.2,439235.2,48919.6,79601.6,40484.9,114270.5,73605.7,20783.4,32087.1,15546.6,27555.7,10777.2,46037.6,23590.9,754876.3,231018.8,17947534.5
CFBC,100,300,100,300,179023.0,133337.7,71135.5,615571.7,401994.3,204333.0,463007.8,59081.9,70689.2,70042.9,37075.5,185061.0,76723.7,67111.0,204701.6,98556.7,288587.0,97795.9,154070.9,27550.3,35605.6,20968.1,62624.4,36153.8,12131.2,18302.6,8304.2,13247.5,6647.5,16430.0,9725.7,202447.6,50598.0,3998636.8
CFBC,270,1000,150,350,763765.7,483167.7,223276.5,2148847.7,1006522.9,350756.1,810275.2,99340.7,130117.5,106440.4,47631.0,458816.8,128149.7,129707.5,308835.6,159982.6,614411.3,186382.5,322051.1,36763.6,49752.9,29162.6,77962.4,52437.9,13802.3,24419.5,10800.6,18319.4,9867.8,30282.3,15116.3,421708.6,151109.4,9419984.1
Bi-Drum,500,1000,250,350,895853.7,691372.3,651576.6,2513840.7,3644063.3,534361.2,1073429.6,142938.3,145884.9,121060.2,60694.6,707550.6,139458.8,143372.3,421542.3,189768.6,687012.1,216089.2,437961.0,38556.0,70709.9,43397.2,119133.9,67553.4,19921.3,30058.2,12584.1,21570.8,10056.1,42786.8,21511.2,735347.1,221668.5,14872684.8
Bi-Drum,800,2000,250,400,2315911.0,1299400.0,961236.2,5107573.3,4670541.2,722541.9,1470792.9,158374.4,182328.4,151002.7,70781.9,1204677.1,210511.7,175465.7,539351.5,239023.6,1058505.9,316550.7,501923.4,50906.4,84215.9,50957.4,123544.1,79038.4,19349.5,30136.0,13931.4,29055.9,11442.9,57328.9,25459.1,1204426.9,350441.1,23486727.4
Two-Pass,660,2000,200,250,1343697.3,878542.8,788394.1,3992449.1,2440439.4,600074.5,1349082.1,167714.5,166419.2,163358.6,65725.7,1072278.5,171942.7,133191.9,487585.2,249335.3,1041549.4,252160.5,452999.8,49857.5,67144.8,47472.2,131606.6,73471.3,21199.4,27801.4,15252.4,23657.5,10485.3,46008.7,27839.3,888794.8,261408.4,17508940.2
AFBC,200,300,300,400,303212.2,166263.8,265238.5,775241.7,1153388.8,279218.1,594857.7,84996.2,112032.6,83087.0,48091.5,264898.7,85814.1,72543.6,294094.0,137751.4,296930.3,136843.7,233194.5,33525.5,53086.6,26930.1,82521.9,47163.0,12518.3,20111.8,11313.7,16278.9,9229.2,24448.3,12511.5,290051.6,90405.0,6117793.8
AFBC,250,1000,150,300,788454.8,420304.6,199687.1,2064573.7,954005.1,400060.3,601875.3,82693.6,110360.6,102159.5,52378.3,509707.8,111010.2,82025.6,336770.4,156758.8,705237.8,155430.7,254826.3,35887.7,55492.4,34016.9,88679.4,58335.9,15721.8,24134.4,11966.8,17624.1,8371.0,34812.5,14743.4,393325.9,138936.3,9020369.0
AFBC,660,2000,250,300,1905682.5,1009512.4,899341.3,4889343.7,3172963.3,560635.2,1462406.9,164724.0,192039.8,141964.3,78718.5,1213711.0,152964.8,152374.5,576593.9,222079.7,1056358.3,287642.4,507528.3,48419.5,67364.9,48052.9,111171.6,87772.8,21117.7,28204.6,13223.2,23916.0,10696.9,47779.0,23281.2,984113.9,291666.9,20453365.9
CFBC,500,2000,150,350,1840834.1,1171065.5,491602.6,4304521.3,2001222.5,508202.5,1335531.4,138446.3,150546.7,122054.1,69580.8,861633.1,173682.1,175024.1,494477.3,194171.2,1073705.8,253393.7,390377.4,45134.7,72135.4,42561.2,118947.7,67283.5,19377.9,25993.1,14250.6,21349.5,11467.5,43501.3,24965.4,743885.5,227302.0,17228227.8
CFBC,250,2000,150,300,1459737.6,957336.6,201842.2,4146073.4,917076.0,541385.0,782940.8,97142.3,107096.6,105788.9,46230.4,612964.5,121918.2,122145.0,293344.5,158014.7,906336.5,179265.9,306471.1,31775.9,48722.2,28976.9,87503.7,58329.8,13889.0,24516.5,10084.5,18249.2,8308.5,40434.3,21031.3,714093.5,211757.5,13380783.0
AFBC,660,2000,325,300,2008173.0,1055811.6,880328.2,4296518.4,3607395.8,669354.2,1468968.1,140317.5,166042.8,158531.5,67341.8,1074477.2,183085.0,154167.4,575231.2,222401.5,920707.4,289963.6,453138.5,48206.0,77323.3,41091.3,130011.1,87336.0,18067.6,32661.5,15347.9,23898.1,10790.6,54860.3,23821.7,1015879.6,266232.2,20237481.9
CFBC,660,2000,325,350,1954153.3,1273795.0,1025181.5,5011471.4,3489401.8,679776.0,1595911.4,145377.4,169573.4,141958.7,79459.6,1051611.5,192337.9,170574.5,582970.1,218414.1,892069.0,296494.5,527503.8,41470.6,79221.3,47834.4,132417.2,86653.0,18062.8,27878.1,12986.4,27577.7,12362.7,48049.7,27124.5,1058058.5,327335.1,21445066.9
Bi-Drum,500,200,100,400,130926.3,88383.8,413410.1,439462.4,2494112.8,325440.3,1041813.9,141646.6,172011.6,141923.0,70450.2,512183.3,166522.2,142374.6,487116.2,188521.3,264675.3,251909.2,439982.1,37817.7,62639.7,36783.9,102995.2,66960.2,19179.8,30098.9,14455.7,25304.4,9678.4,34571.1,14574.3,428843.5,131738.8,8928506.8
AFBC,500,1000,325,350,875006.1,640082.6,749503.5,2148476.1,2760522.1,440760.7,1142239.4,123512.6,144106.8,144672.5,70822.4,817729.2,158400.6,136522.6,505162.0,220959.6,708543.2,215228.6,390174.0,38613.8,70124.6,41938.8,118327.0,65497.5,19368.6,26441.3,14309.5,26036.8,11441.8,37880.1,18517.4,670206.0,204477.8,13755605.6
Two-Pass,200,500,200,300,376043.0,195887.6,186096.4,1200117.9,827660.6,247010.3,568309.0,73015.6,99746.9,82477.6,49369.0,304395.7,83027.7,82860.6,295705.0,138712.2,403074.1,139331.3,263016.3,29244.8,45466.4,27509.0,71519.3,46886.6,14946.2,19111.9,9658.1,19496.1,7973.1,23381.1,13584.1,273368.8,92247.9,6310250.2
